,省份,城市,nowConfirm,confirm,dead,heal
0,香港,地区待确认,528,1017,4,485
1,黑龙江,境外输入,362,364,0,2
2,黑龙江,哈尔滨,26,224,4,194
3,黑龙江,绥化,0,47,4,43
4,黑龙江,大兴安岭,0,3,0,3
5,黑龙江,黑河,0,14,0,14
6,黑龙江,大庆,0,26,1,25
7,黑龙江,双鸭山,0,52,3,49
8,黑龙江,齐齐哈尔,0,43,1,42
9,黑龙江,鹤岗,0,5,0,5
10,黑龙江,牡丹江,0,15,0,15
11,黑龙江,七台河,0,17,0,17
12,黑龙江,鸡西,0,46,0,46
13,黑龙江,伊春,0,1,0,1
14,黑龙江,佳木斯,0,15,0,15
15,台湾,地区待确认,234,395,6,155
16,湖北,武汉,129,50333,3869,46335
17,湖北,十堰,0,672,8,664
18,湖北,潜江,0,198,9,189
19,湖北,鄂州,0,1394,59,1335
20,湖北,天门,0,496,15,481
21,湖北,襄阳,0,1175,40,1135
22,湖北,仙桃,0,575,22,553
23,湖北,恩施州,0,252,7,245
24,湖北,神农架,0,11,0,11
25,湖北,宜昌,0,931,37,894
26,湖北,黄石,0,1015,39,976
27,湖北,荆州,0,1580,52,1528
28,湖北,随州,0,1307,45,1262
29,湖北,荆门,0,928,41,887
30,湖北,咸宁,0,836,15,821
31,湖北,黄冈,0,2907,125,2782
32,湖北,孝感,0,3518,129,3389
33,上海,境外输入,108,289,0,181
34,上海,外地来沪,3,111,1,107
35,上海,宝山,1,22,1,20
36,上海,青浦,0,6,0,6
37,上海,嘉定,0,9,2,7
38,上海,徐汇,0,18,1,17
39,上海,静安,0,16,1,15
40,上海,黄浦,0,6,1,5
41,上海,浦东,0,61,0,61
42,上海,松江,0,14,0,14
43,上海,崇明,0,4,0,4
44,上海,金山,0,4,0,4
45,上海,虹口,0,7,0,7
46,上海,奉贤,0,9,0,9
47,上海,杨浦,0,9,0,9
48,上海,普陀,0,11,0,11
49,上海,长宁,0,13,0,13
50,上海,闵行,0,19,0,19
51,上海,地区待确认,-3,0,0,3
52,广东,境外输入,61,190,0,129
53,广东,广州,26,375,1,348
54,广东,揭阳,2,10,0,8
55,广东,佛山,2,87,0,85
56,广东,深圳,2,420,3,415
57,广东,河源,1,5,0,4
58,广东,湛江,0,22,0,22
59,广东,汕头,0,25,0,25
60,广东,潮州,0,5,0,5
61,广东,江门,0,23,0,23
62,广东,清远,0,12,0,12
63,广东,汕尾,0,5,0,5
64,广东,梅州,0,16,0,16
