省份,nowConfirm,confirm,dead,heal,治愈率,死亡率
上海,109,628,7,512,81.53%,1.11%
云南,5,184,2,177,96.20%,1.09%
内蒙古,89,193,1,103,53.37%,0.52%
北京,76,593,8,509,85.83%,1.35%
台湾,234,395,6,155,39.24%,1.52%
吉林,4,102,1,97,95.10%,0.98%
四川,5,560,3,552,98.57%,0.54%
天津,14,189,3,172,91.01%,1.59%
宁夏,0,75,0,75,100.00%,0.00%
安徽,1,991,6,984,99.29%,0.61%
山东,19,787,7,761,96.70%,0.89%
山西,62,197,0,135,68.53%,0.00%
广东,94,1577,8,1475,93.53%,0.51%
广西,0,254,2,252,99.21%,0.79%
新疆,0,76,3,73,96.05%,3.95%
江苏,10,653,0,643,98.47%,0.00%
江西,0,937,1,936,99.89%,0.11%
河北,6,328,6,316,96.34%,1.83%
河南,0,1276,22,1254,98.28%,1.72%
浙江,21,1268,1,1246,98.26%,0.08%
海南,0,168,6,162,96.43%,3.57%
湖北,129,68128,4512,63487,93.19%,6.62%
湖南,1,1019,4,1014,99.51%,0.39%
澳门,29,45,0,16,35.56%,0.00%
甘肃,0,139,2,137,98.56%,1.44%
福建,19,354,1,334,94.35%,0.28%
西藏,0,1,0,1,100.00%,0.00%
贵州,1,147,2,144,97.96%,1.36%
辽宁,4,146,2,140,95.89%,1.37%
重庆,3,579,6,570,98.45%,1.04%
陕西,1,256,3,252,98.44%,1.17%
青海,0,18,0,18,100.00%,0.00%
香港,528,1017,4,485,47.69%,0.39%
黑龙江,388,872,13,471,54.01%,1.49%
