,日期,确诊,死亡,痊愈
0,01.13,41,1,0
1,01.14,41,1,0
2,01.15,41,2,5
3,01.16,45,2,8
4,01.17,62,2,12
5,01.18,198,3,17
6,01.19,275,4,18
7,01.20,291,6,25
8,01.21,440,9,25
9,01.22,574,17,25
10,01.23,835,25,34
11,01.24,1297,41,38
12,01.25,1985,56,49
13,01.26,2761,80,51
14,01.27,4535,106,60
15,01.28,5997,132,103
16,01.29,7736,170,124
17,01.30,9720,213,171
18,01.31,11821,259,243
19,02.01,14411,304,328
20,02.02,17238,361,475
21,02.03,20471,425,632
22,02.04,24363,491,892
23,02.05,28060,564,1153
24,02.06,31211,637,1542
25,02.07,34598,723,2052
26,02.08,37251,812,2651
27,02.09,40235,909,3283
28,02.10,42708,1017,3998
29,02.11,44730,1114,4742
30,02.12,59882,1368,5915
31,02.13,63932,1381,6728
32,02.14,66576,1524,8101
33,02.15,68584,1666,9425
34,02.16,70635,1772,10853
35,02.17,72528,1870,12561
36,02.18,74279,2006,14387
37,02.19,75002,2121,16157
38,02.20,75993,2239,18266
39,02.21,76392,2348,20673
40,02.22,77041,2445,22907
41,02.23,77262,2595,24757
42,02.24,77779,2666,27353
43,02.25,78190,2718,29775
44,02.26,78630,2747,32531
45,02.27,78959,2791,36157
46,02.28,79389,2838,39049
47,02.29,79968,2873,41675
48,03.01,80174,2915,44518
49,03.02,80302,2946,47260
50,03.03,80422,2984,49914
51,03.04,80565,3015,52109
52,03.05,80710,3045,53793
53,03.06,80813,3073,55477
54,03.07,80859,3100,57143
55,03.08,80904,3123,58684
56,03.09,80924,3140,59982
57,03.10,80955,3162,61567
58,03.11,80992,3173,62887
59,03.12,81003,3180,64216
60,03.13,81021,3194,65649
61,03.14,81048,3204,67022
62,03.15,81077,3218,67863
63,03.16,81116,3231,68799
64,03.17,81151,3242,69725
65,03.18,81235,3250,70547
66,03.19,81300,3253,71284
67,03.20,81416,3261,71876
68,03.21,81498,3267,72382
69,03.22,81600,3276,72841
70,03.23,81747,3283,73299
71,03.24,81846,3287,73791
72,03.25,81960,3293,74196
73,03.26,82078,3298,74737
74,03.27,82213,3301,75122
75,03.28,82341,3306,75600
76,03.29,82447,3311,75937
77,03.30,82545,3314,76225
78,03.31,82631,3321,76415
79,04.01,82724,3327,76610
80,04.02,82802,3331,76785
81,04.03,82861,3335,76984
82,04.04,82930,3338,77210
83,04.05,83005,3340,77348
84,04.06,83071,3340,77450
85,04.07,83157,3342,77586
86,04.08,83249,3344,77711
