,省份,城市,nowConfirm,confirm,dead,heal
0,香港,地区待确认,676,973,4,293
1,湖北,武汉,398,50008,2574,47036
2,湖北,仙桃,1,575,22,552
3,湖北,宜昌,1,931,36,894
4,湖北,襄阳,1,1175,39,1135
5,湖北,神农架,0,11,0,11
6,湖北,恩施州,0,252,7,245
7,湖北,十堰,0,672,8,664
8,湖北,天门,0,496,15,481
9,湖北,黄石,0,1015,39,976
10,湖北,荆州,0,1580,52,1528
11,湖北,随州,0,1307,45,1262
12,湖北,荆门,0,928,41,887
13,湖北,咸宁,0,836,15,821
14,湖北,孝感,0,3518,129,3389
15,湖北,黄冈,0,2907,125,2782
16,湖北,潜江,0,198,9,189
17,湖北,鄂州,0,1394,59,1335
18,台湾,地区待确认,295,380,5,80
19,黑龙江,境外输入,126,127,0,1
20,黑龙江,绥化,0,47,4,43
21,黑龙江,大兴安岭,0,3,0,3
22,黑龙江,黑河,0,14,0,14
23,黑龙江,哈尔滨,0,198,4,194
24,黑龙江,大庆,0,26,1,25
25,黑龙江,双鸭山,0,52,3,49
26,黑龙江,齐齐哈尔,0,43,1,42
27,黑龙江,鹤岗,0,5,0,5
28,黑龙江,牡丹江,0,15,0,15
29,黑龙江,七台河,0,17,0,17
30,黑龙江,鸡西,0,46,0,46
31,黑龙江,伊春,0,1,0,1
32,黑龙江,佳木斯,0,15,0,15
33,上海,境外输入,119,213,0,94
34,上海,外地来沪,3,111,1,107
35,上海,宝山,1,22,1,20
36,上海,青浦,0,6,0,6
37,上海,地区待确认,0,0,0,0
38,上海,徐汇,0,18,1,17
39,上海,静安,0,16,1,15
40,上海,黄浦,0,6,1,5
41,上海,浦东,0,61,0,61
42,上海,嘉定,0,9,2,7
43,上海,崇明,0,4,0,4
44,上海,金山,0,4,0,4
45,上海,虹口,0,7,0,7
46,上海,奉贤,0,9,0,9
47,上海,杨浦,0,9,0,9
48,上海,普陀,0,11,0,11
49,上海,长宁,0,13,0,13
50,上海,松江,0,14,0,14
51,上海,闵行,0,19,0,19
52,北京,境外输入,110,172,0,62
53,北京,朝阳,72,72,0,0
54,北京,海淀,64,64,0,0
55,北京,西城,53,53,0,0
56,北京,丰台,43,43,0,0
57,北京,大兴,39,39,0,0
58,北京,昌平,29,29,0,0
59,北京,外地来京,25,25,0,0
