,国家,新增确诊,累计确诊,治愈,死亡
0,美国,30860,399929,12910,22496
1,西班牙,5267,141942,14045,43208
2,意大利,3039,135586,17127,24392
3,法国,11086,110070,10343,19523
4,德国,3464,107663,2016,36081
5,伊朗,0,62589,3872,27039
6,英国,3647,55949,6171,325
7,土耳其,3892,34109,725,1582
8,瑞士,596,22253,821,8704
9,比利时,0,22194,2035,4157
10,荷兰,777,19709,2108,272
11,加拿大,1230,17897,381,4047
12,巴西,1708,14049,688,127
13,奥地利,342,12639,243,4046
14,葡萄牙,0,12442,345,184
15,韩国,53,10384,200,6776
16,以色列,398,9404,71,801
17,瑞典,0,7693,591,205
18,俄罗斯,0,7497,58,494
19,挪威,220,6086,89,32
20,澳大利亚,115,6010,50,1080
21,爱尔兰,345,5709,210,25
22,印度,445,5356,160,468
23,丹麦,93,5266,203,1621
24,智利,301,5116,43,898
25,捷克,189,5017,88,172
26,波兰,316,4848,129,191
27,罗马尼亚,0,4417,203,460
28,日本本土,351,4257,93,622
29,巴基斯坦,67,4072,58,467
30,厄瓜多尔,248,3995,220,140
31,马来西亚,0,3963,63,1321
32,菲律宾,0,3764,177,84
33,卢森堡,127,2970,44,500
34,秘鲁,393,2954,107,1301
35,沙特阿拉伯,0,2795,41,615
36,墨西哥,346,2785,141,633
37,印度尼西亚,0,2738,221,204
38,塞尔维亚,0,2447,61,0
39,泰国,111,2369,30,888
40,阿联酋,283,2359,12,186
41,芬兰,0,2308,34,300
42,巴拿马,149,2249,59,16
43,卡塔尔,225,2057,6,150
44,多米尼加,128,1956,98,36
45,希腊,77,1832,81,269
46,哥伦比亚,201,1780,50,100
47,南非,0,1749,13,95
48,阿根廷,87,1715,60,338
49,冰岛,0,1586,6,559
50,新加坡,106,1481,6,377
51,阿尔及利亚,45,1468,193,113
52,乌克兰,0,1462,45,28
53,埃及,128,1450,94,276
54,克罗地亚,0,1282,18,167
55,新西兰,50,1210,1,282
56,摩洛哥,43,1184,90,93
57,爱沙尼亚,0,1149,21,69
58,伊拉克,91,1122,65,373
59,斯洛文尼亚,0,1059,36,102
60,摩尔多瓦,0,1056,22,40
61,匈牙利,78,895,58,94
62,立陶宛,0,880,15,8
63,白俄罗斯,0,861,13,54
64,亚美尼亚,0,853,8,87
65,巴林,0,811,5,458
66,波黑,10,764,33,68
67,科威特,0,743,1,105
68,阿塞拜疆,0,717,8,44
69,钻石号邮轮,0,712,11,619
70,哈萨克斯坦,19,704,6,51
71,喀麦隆,27,685,9,60
72,突尼斯,27,623,23,25
73,北马其顿,0,599,26,30
74,斯洛伐克,0,581,2,13
75,保加利亚,16,581,23,42
76,黎巴嫩,0,548,19,62
77,拉脱维亚,0,548,2,16
78,安道尔,20,545,22,39
79,乌兹别克斯坦,30,534,2,30
80,塞浦路斯,29,494,9,47
81,哥斯达黎加,16,483,2,24
82,乌拉圭,9,424,7,150
83,阿富汗,0,423,14,18
84,古巴,33,396,11,27
85,布基纳法索,20,384,19,127
86,阿尔巴尼亚,0,383,22,131
87,阿曼,0,371,2,67
88,约旦,4,353,6,138
89,科特迪瓦,26,349,3,41
90,波多黎各,30,316,12,0
91,洪都拉斯,7,312,22,6
92,马耳他,0,293,0,5
93,加纳,0,287,5,31
94,圣马力诺,2,279,34,40
95,尼日尔,25,278,11,26
96,吉尔吉斯斯坦,42,270,4,33
97,毛里求斯,0,268,7,8
98,尼日利亚,16,254,6,44
99,越南,2,251,0,122
100,黑山,2,241,2,4
101,塞内加尔,11,237,2,105
102,玻利维亚,16,210,15,2
103,格鲁吉亚,1,196,3,46
104,斯里兰卡,0,185,6,42
105,刚果（金）,19,180,18,9
106,肯尼亚,0,172,6,7
107,委内瑞拉,1,166,7,65
108,孟加拉,0,164,17,33
109,巴勒斯坦,6,161,1,18
110,几内亚,16,144,0,5
111,文莱,0,135,1,85
112,巴拉圭,4,119,5,15
113,柬埔寨,2,117,0,63
114,特立尼达和多巴哥,1,107,8,1
115,卢旺达,0,105,0,7
116,萨尔瓦多,15,93,5,9
117,吉布提,0,90,0,9
118,马达加斯加,6,88,0,7
119,危地马拉,6,80,3,17
120,摩纳哥,2,79,1,4
121,列支敦士登公国,1,78,1,55
122,多哥,7,65,3,23
123,牙买加,4,63,3,9
124,巴巴多斯,3,63,3,6
125,马里,0,56,5,12
126,埃塞俄比亚,0,52,2,4
127,乌干达,0,52,0,0
128,刚果（布）,0,45,5,2
129,赞比亚,0,39,1,7
130,马提尼克岛,0,37,1,0
131,巴哈马,3,36,6,5
132,圭亚那,2,33,5,8
133,几内亚比绍,0,33,0,0
134,厄立特里亚,0,31,0,0
135,加蓬,0,30,1,1
136,贝宁,0,26,1,5
137,海地,1,25,1,0
138,坦桑尼亚,0,24,1,5
139,缅甸,0,22,3,0
140,利比亚,1,20,1,1
141,安提瓜和巴布达,4,19,1,0
142,马尔代夫,0,19,0,13
143,叙利亚,0,19,2,3
144,安哥拉,1,17,2,2
145,蒙古,1,16,0,4
146,赤道几内亚,0,16,0,3
147,纳米比亚,0,16,0,3
148,斐济,0,15,0,0
149,多米尼克,0,15,0,1
